"JMB","Jamba","Jamba","Angola","AO",-14.700278,16.083333,502,"Angola",\N,\N,3351879
"SVP","Kuito","Kuito","Angola","AO",-12.404722,16.947500,502,"Angola",\N,3348078,3351879
"UAL","Luau","Luau","Angola","AO",-10.783333,20.500000,502,"Angola",\N,876177,3351879
"SDD","Lubango","Lubango","Angola","AO",-14.916667,13.483333,502,"Angola",\N,3347762,3351879
"LUO","Luena","Luena","Angola","AO",-11.768056,19.897778,502,"Angola",\N,3347719,3351879
"LBZ","Lukapa","Lukapa","Angola","AO",-8.416667,20.750000,502,"Angola",\N,145724,3351879
"GGC","Lumbala","Lumbala","Angola","AO",-14.116667,21.433333,502,"Angola",\N,\N,3351879
"LZM","Luzamba","Luzamba","Angola","AO",-4.966667,23.450000,502,"Angola",\N,\N,3351879
"MEG","Malange","Malange","Angola","AO",-9.533333,16.333333,502,"Angola",\N,2239862,3351879
"SPP","Menongue","Menongue","Angola","AO",-14.633333,17.733333,502,"Angola",\N,\N,3351879
"MSZ","Namibe","Namibe","Angola","AO",-15.208611,12.160833,502,"Angola","Namibe",3347019,3351879
"NDF","Ndalatandos","Ndalatandos","Angola","AO",-13.783333,16.716667,502,"Angola",\N,\N,3351879
"GXG","Negage","Negage","Angola","AO",-7.516667,15.833333,502,"Angola",\N,\N,3351879
"NGV","Ngiva","Ngiva","Angola","AO",23.076111,34.374444,502,"Angola",\N,\N,3351879
"VPE","Ongiva","Ongiva","Angola","AO",-17.050000,15.600000,502,"Angola",\N,3346821,3351879
"PBN","Porto Amboim","Porto Amboim","Angola","AO",-10.700000,13.750000,502,"Angola",\N,\N,3351879
"VHC","Saurimo","Saurimo","Angola","AO",-9.750000,20.550000,502,"Angola",\N,145531,3351879
"SZA","Soyo","Soyo","Angola","AO",-6.146389,12.363889,502,"Angola",\N,2236967,3351879
"NDD","Sumbe","Sumbe","Angola","AO",-11.166667,13.866667,502,"Angola",\N,3346015,3351879
